file_name,slack_file_id,first_seen_timestamp,channel,channel_id,daypack_page,linked_candidate_ids,reason
NDA.docx,F018J1T53UH,2020-08-03 00:51:05 CDT,#general,C012EQLTSGL,456,EX-DP-020,Early package posting CHS SubLicense+NDA+Term Sheet bundle.
Sub-License Agreement-2020-07-10.docx,F017YLRQUCW,2020-08-03 00:51:05 CDT,#general,C012EQLTSGL,456,EX-DP-020,Early package posting CHS SubLicense+NDA+Term Sheet bundle.
Term Sheet .docx,F0185JW2LSX,2020-08-03 00:51:05 CDT,#general,C012EQLTSGL,456,EX-DP-020,Early package posting CHS SubLicense+NDA+Term Sheet bundle.
prices for hawk seale.xlsx,F019X0ECZ7A,2020-08-20 10:47:14 CDT,#general,C012EQLTSGL,457,EX-DP-006,Attachment named prices for Hawk Seale indicates pricing artifact existed in channel.
SoyLei Consulting Agreement-gj redline & comments - 9-6-20.docx,F01A5ATHK5K,2020-09-07 23:58:38 CDT,#general,C012EQLTSGL,461,EX-DP-002,Direct statement that sub-license provisions did not comply with ISURF Exclusive License; includes redlined agreements.
SoyLei Private Label Supply Agmt - gj redline & comments - 9-6-20.docx,F01A8DBAT8S,2020-09-07 23:58:38 CDT,#general,C012EQLTSGL,461,EX-DP-002,Direct statement that sub-license provisions did not comply with ISURF Exclusive License; includes redlined agreements.
Sub-License Agreement-MBS-final modified - 9-5-20.docx,F01A5AUDTBP,2020-09-07 23:58:38 CDT,#general,C012EQLTSGL,461,EX-DP-002,Direct statement that sub-license provisions did not comply with ISURF Exclusive License; includes redlined agreements.
SoyLei Consulting Agreement.docx,F01AG9WLLNP,2020-09-10 15:48:57 CDT,#general,C012EQLTSGL,462,EX-DP-003,"Package message posting core agreement set (sub-license, private-label supply, consulting)."
SoyLei Private Label Supply Agmt.docx,F01AUNA03ED,2020-09-10 15:48:57 CDT,#general,C012EQLTSGL,462,EX-DP-003,"Package message posting core agreement set (sub-license, private-label supply, consulting)."
Sub-License Agreement-MBS.docx,F01AG3SCWTC,2020-09-10 15:48:57 CDT,#general,C012EQLTSGL,462,EX-DP-003,"Package message posting core agreement set (sub-license, private-label supply, consulting)."
PO_PureAsphalt.pdf,F01E0SS4YTE,2020-11-02 10:39:16 CST,#general,C012EQLTSGL,469,EX-DP-005,Message references PO for ordering Hawk Seale material from Pure Asphalt; supports supply-chain linkage.
soylei_consulting_agreement__11-10-2020_execution_version_.docx,F01FAMU0V5E,2020-11-12 09:41:51 CST,#general,C012EQLTSGL,474,EX-DP-004,"Execution-version copies of private-label, sub-license, and consulting agreements posted."
soylei_private_label_supply_agmt__11-10-2020_execution_version_.docx,F01EE4Y5CCW,2020-11-12 09:41:51 CST,#general,C012EQLTSGL,474,EX-DP-004,"Execution-version copies of private-label, sub-license, and consulting agreements posted."
soylei_sub-license_agreement-__11-10-2020_execution_copy.docx,F01ET1TPFRA,2020-11-12 09:41:51 CST,#general,C012EQLTSGL,474,EX-DP-004,"Execution-version copies of private-label, sub-license, and consulting agreements posted."
term sheet for exclusive license to SoyLei on PAESO patents,F03PRU4N56E,2022-07-16 00:21:38 CDT,#owners-active,C03530U09SR,543,EX-DP-013,Message pushing execution timeline for exclusive-license term sheet on PAESO patents.
ISURF #03949 04064 04495 04813 05007 05258 05362 05407 Exclusive License - DRAFT_NG Redline 9-6-2022.docx,F041CQKQELC,2022-09-06 17:05:29 CDT,#general-business-4,C03G8P813JP,557,EX-DP-014,Lawyer redline of broad ISURF exclusive-license draft posted.
2023-12-22 Michael Forrester Board Resignation-Chair Letter.pdf,F06BG1R7W68,2023-12-22 13:59:47 CST,#U012M8NDV3K,D012MBNHKMF,890,EX-DP-019,Preceding direct message provides additional resignation context and attached chair letter.
2023-12-22 Michael Forrester Board Resignation .pdf,F06BDKFBPJN,2023-12-22 14:11:26 CST,#owners,G01LKE7BJM9,1010,EX-DP-018,Board resignation notice posted to owners channel with attached resignation letter.
image.png,F06CZ3SMV2N,2024-01-08 17:09:20 CST,#U012MBNJ67K,D0128UUFSCT,865,EX-DP-012,Contemporaneous concern rights may survive supply-agreement cancellation; indicates perceived legal exposure.
Screenshot_20250922_085427_WhatsApp.jpg,F09GDS9G4AZ,2025-09-22 08:55:05 CDT,#mpdm-bakermaun--ecochran76--michael.j.forrester-1,C0492BUV33L,648,EX-DP-017,Message with screenshot attachment alleging drums of Hawk Seale sold by Nacu.
